key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code
3126,3207560,BYRON CENTER COMMUNITY SCHS,8542 BYRON CENTER AVENUE,BYRON CENTER  MI,Kent,Michigan,48418.0,,7,4,9,4,18,1588,0,0,0,25,0,0,0,0,0,0,86,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,176093659141,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207560
3127,3207590,CADILLAC AREA PUBLIC SCHOOLS,500 CHESTNUT STREET,CADILLAC  MICH,Wexford,Michigan,49601.0,,10,9,0,3,4,4056,0,0,0,0,0,0,0,0,1,0,155,0,0,0,1,0,173,0,0,0,0,0,0,0,0,0,356482285569,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207590
3128,3207620,CALEDONIA COMMUNITY SCHOOLS,,CALEDONIA  MICH,Kent,Michigan,49316.0,,6,2,8,2,0,2098,0,0,0,20,0,0,0,0,0,0,95,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,176093659142,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207620
3129,3207650,CALUMET PUBLIC SCHOOL DIST,,CALUMET  MICH,Houghton,Michigan,49913.0,,4,1,7,0,2,1860,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,133143986179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207650
3130,3207800,CAPAC COMMUNITY SCHOOL DIST,,CAPAC  MICH,Houghton,Michigan,48014.0,,0,0,22,6,173,1271,0,0,0,0,0,0,1,0,0,0,66,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,317827579904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207800
3131,3207890,CARMAN SCHOOL DISTRICT,G-3475 WEST COURT STREET,FLINT  M,Genesee,Michigan,4850.0,,14,21,17,12,97,8797,0,0,0,20,0,0,0,4,0,0,314,0,0,5,0,0,342,0,0,0,0,0,0,0,0,0,107374182407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207890
3132,3208160,CARSONVILLE COMM SCHOOL DIST,,CARSONVILLE  MIC,Sanilac,Michigan,48419.0,,3,0,0,2,2,863,0,0,0,0,0,0,0,0,3,0,30,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,158456325028528675513505415268,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208160
3133,3208400,CASS CITY PUBLIC    OOLS,4690 N SEEGER,CASS CITY  MICH,Tuscola,Michigan,48726.0,,5,9,0,4,24,2067,0,0,0,0,0,0,1,0,0,0,70,0,1,0,0,0,77,0,0,0,0,0,0,0,0,0,339302416387,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208400
3134,3208580,CENTERLINE PUBLIC SCHOOLS,6775 TEN MILE ROAD,CENTERLINE  MICH,Macomb,Michigan,48015.0,,12,5,6,17,25,6663,0,0,0,0,0,0,0,1,0,0,263,0,0,1,0,0,285,0,0,0,0,0,0,0,0,0,214748364801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208580
3135,3208640,RAL MONTCALM PUBLIC SCHS,1480 S SHERIDAN ROAD,STANTON  MICH,Montcalm,Michigan,48888.0,,5,0,5,1,101,1917,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,253403070470,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208640
