key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Nonresident Pupils,Resident Pupils,Expelled: American Indian,Expelled: Black,Expelled: Asian,Expelled: Spanish Surname,Expelled: Other,Expelled: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Bilingual Instruction,Bilingual Teachers,Bilingual Pupils,Bilingual Material,New School Property,New School Construction,New School Capacity,New School (Greater Minority) Composition,Year,State Code,Assurance,Litigation Code,Selection Code,Sampling Weight ,Pupils in Another System: American Indian,Pupils in Another System: Black,Pupils in Another System: Asian American,Pupils in Another System: Spanish Surname,Pupils in Another System: Other,Pupils in Non-Public Schools: American Indian,Pupils in Non-Public Schools: Black,Pupils in Non-Public Schools: Asian American,Pupils in Non-Public Schools: Spanish Surname,Pupils in Non-Public Schools: Other,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other
5161,4300660,CASWELL COUNTY,P O BOX 158,Yanceyville,Caswell,North Carolina,27379,T H WHITLEY,13,4,2950,0,0,2032,0,0,4986,0,0,0,0,1,0,54,253,14,0,91,0,0,100,0,0,104,0,0,109,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5162,4300690,CATAWBA,BOX 1000,Newton,Catawba,North Carolina,28658,H M ARNDT,18,0,990,4,3,10643,0,48,11592,0,0,0,0,0,0,136,149,10,0,45,0,0,427,0,0,46,0,0,463,0,0,2,0,0,31,0,0,0,0,0,1,1,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5163,4300720,CHAPEL HILL-CARRBORO CITY SCHO,MERRITT MILL ROAD,Chapel Hill,Orange,North Carolina,27415,ROBERT C HANES,9,1,1491,28,18,3520,0,35,5023,0,8,0,0,4,0,2,391,3,0,51,0,0,152,0,0,59,0,0,175,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5164,4300750,CHATHAM COUNTY                ,20 SOUTH STREET,Pittsboro,Chatham,North Carolina,27312,PERRY W HARRISON,13,0,2506,1,2,4019,0,140,6389,0,5,0,0,10,0,27,90,10,0,74,0,0,206,0,0,81,0,0,219,0,0,3,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5165,3690987520,¤Ö,PEACHTREE STREET,Murphy,Cherokee,North Carolina,2,8906,1077952576,1077952512,2816,48384,26624,1536,0,861952,0,0,939008,0,0,0,0,768,0,0,0,0,1280,0,0,0,42240,0,1280,0,0,0,44032,0,0,0,0,0,1536,0,0,0,0,0,0,512,0,0,0,0,256,256,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5166,4300840,CHOWAN-EDENTON,PO BOX 206,Edenton,Chowan,North Carolina,27932,EDWIN L WEST JR,5,2,1592,0,0,1226,0,2,2818,0,13,0,0,7,0,2,167,0,0,55,0,0,68,0,0,60,0,0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5167,4300900,CLEVELAND COUNTY,130 SOUTH POST ROAD,Shelby,Cleveland,North Carolina,28150,VINCENT J COLOMBO,18,0,2721,3,0,6121,0,25,8820,0,0,0,0,0,0,189,20,15,0,71,1,0,283,0,0,80,1,0,312,0,0,4,0,0,16,0,0,0,0,0,1,1,0,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5168,4300930,CLINTON CITY,PO BOX 646 211 KERR STREET,Clinton,Sampson,North Carolina,28328,DR FRANK B GREER,5,119,1435,0,0,1773,0,18,3309,0,2,0,0,0,0,2,90,65,0,49,0,0,91,0,0,52,0,0,102,0,0,2,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5169,4300960,COLUMBUS COUNTY,P.O.BOX 729,Whiteville,Columbus,North Carolina,28472,JOHN J HICKS,17,366,3622,2,1,5476,0,19,9448,0,9,0,0,4,0,11,125,9,9,128,0,1,273,0,9,138,0,1,301,0,0,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5170,4300990,CONCORD CITY,70 CORBAN AVENUE SE,Concord,Cabarrus,North Carolina,28025,W M IRVIN,6,1,999,1,0,2490,0,2,3489,0,6,0,0,9,0,0,69,0,0,33,0,0,105,0,0,38,0,0,121,0,0,1,0,0,9,0,0,0,0,0,0,1,1,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5171,4301020,CRAVEN COUNTY,P O BOX 969,New Bern,Craven,North Carolina,28560,HIRAM J MAYO,12,14,2739,67,29,5478,0,0,8327,0,0,0,0,0,0,0,500,0,0,62,0,0,284,0,0,64,0,0,314,0,0,4,0,0,17,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5172,4301050,CUMBERLAND COUNTY,PO BOX 1420 HWY 301 SOUTH,Fayetteville,Cumberland,North Carolina,28302,C WAYNE COLLIER,51,697,7865,282,306,23849,0,0,32999,0,16,0,0,21,0,279,155,132,7,271,1,3,939,0,7,300,1,3,1058,0,1,13,0,0,43,0,0,0,0,0,0,1,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
