key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code,
1935,2406120,MADISON CONSOLIDATED SCHOOLS,"427 E. MAIN STREET, P. O. BOX 44",Madison,Jefferson,Indiana,47250,GEORGE D. COOK,10,0,71,14,2,4490,0,0,0,0,0,0,0,0,0,0,0,1,0,0,201,0,0,0,0,0,19,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1936,2405190,JENNINGS COUNTY SCHOOLS,P. O. BOX 110,North Vernon,Jennings,Indiana,47265,,12,5,63,3,1,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179,0,0,0,0,0,4,0,0,0,171798692541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1937,2403690,FRANKLIN COMMUNITY SCHOOL CORPOR,101 HURRICANE STREET,Franklin,Johnson,Indiana,46131,"DONALD HAYES, SUPERI",8,0,98,7,0,4023,0,0,0,0,0,0,0,0,0,0,0,3,0,0,168,0,0,0,0,0,12,0,0,0,176093659140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1938,2404110,GREENWOOD COMMUNITY SCHOOL CORP.,P. O. BOX 218,Greenwood,Johnson,Indiana,46142,EARL E. BLEMKER,4,0,0,0,0,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1939,2407620,NINEVEH-HENSLEY-JACKSON UNITED S,X 67,Trafalgar,Johnson,Indiana,46181,JOHN W. HYNDS,5,0,0,1,7,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1940,2401890,CLARK-PLEASANT COMMUNITY SCHOOL,250 MAIN STREET,Whiteland,Johnson,Indiana,4,JAMES M. HANNAH,4,0,2,0,13,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1941,2412120,VINCENNES COMMUNITY SCHOOL CORPO,600 BLOCK NORTH SIXTH STREET,Vincennes,Knox,Indiana,47591,WAYNE E. ADER,9,1,65,5,1,4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,13,0,0,0,180388626441,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1942,2407830,NORTH KNOX SCHOOL CORPORATION,310 NORTH MAIN STREET,Bicknell,Knox,Indiana,47512,GEORGE E. HAYES,6,0,0,0,0,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,8,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1943,2410410,SOUT,P O BOX 8,Vincennes,Knox,Indiana,47591,"EDSON C. CATT, SUPER",3,0,7,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,3,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1944,2411370,TIPPECANOE VALLEY SCHOOL CORPORA,,Mentone,Kosciusko,Indiana,46539,"ROBERT M. FORBES, SU",5,0,1,4,9,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,0,1,6,0,0,0,184683593740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
