key,OE School System Code,System Name,System Street Address,System City,System County,System State,System Zip Code,Chief Administrative Officer,Number of School Campus Forms,System Pupils: American Indian,System Pupils: Black,System Pupils: Asian American,System Pupils: Spanish Surname,System Pupils: Other,System Pupils: Total,Resident Pupils in another System,Resident Pupils in nonpublic schools,Resident School Age not in School,System Teachers: American Indian,System Teachers: Black,System Teachers: Asian,System Teachers: Spanish Surname,System Teachers: Other,System Teachers: Total,Professional Staff: American Indian,Professional Staff: Black,Professional Staff: Asian,Professional Staff: Spanish Surname,Professional Staff: Other,Professional Staff: Total,Professionals in more than one school: American Indian,Professionals in more than one school: Black,Professionals in more than one school: Asian,Professionals in more than one school: Spanish Surname,Professionals in more than one school: Other,Professionals in more than one school: Total,Year,State Code,SRG Code,Assurance,Litigation Code,Sampling Weight ,School Age not in School: American Indian,School Age not in School: Black,School Age not in School: Asian American,School Age not in School: Spanish Surname,School Age not in School: Other,Non-Resident Pupils: American Indian,Non-Resident Pupils: Black,Non-Resident Pupils: Asian American,Non-Resident Pupils: Spanish Surname,Non-Resident Pupils: Other,Resident Pupils: American Indian,Resident Pupils: Black,Resident Pupils: Asian American,Resident Pupils: Spanish Surname,Resident Pupils: Other,1970 OE code,
1,1000240,AUTAUGA COUNTY BOARD OF EDUCATIO,,Prattville,Autauga,Alabama,36067,JOHN R. HAIGIS,10,0,2378,0,0,4377,0,0,0,0,0,0,0,0,0,0,0,103,0,0,176,0,0,0,0,0,0,0,1,1,4294967297,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1000270,BALDWIN     TY,,Bay Minette,Baldwin,Alabama,3650,W. C. MCGOWAN,27,0,3868,0,0,10775,0,0,0,0,0,0,0,0,0,0,0,162,0,0,406,0,0,0,0,0,0,0,0,0,8589934592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1000300,BARBOUR,,Clayton,Barbour,Alabama,36016,RAYMOND R. FAUGHT,9,0,2395,0,0,972,0,0,0,0,0,0,0,0,0,0,0,90,0,2,64,0,0,0,0,0,0,0,0,0,12884901888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1001410,EUFAULA CITY SCHOOL SYSTEM,,Eufaula,Barbour,Alabama,36027,O. B. CARTER,5,0,984,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1000360,BIBB COUNTY,,Centreville,Bibb,Alabama,35042,W. R. MCKINZEY,13,0,1265,0,0,2311,0,0,0,0,0,0,0,0,0,0,0,57,0,0,103,0,0,0,0,0,0,0,0,0,17179869185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1000420,BLOUNT COUNTY BOARD OF EDUCATION,,Oneonta,Blount,Alabama,35121,CLYDE BLACKWOOD,16,0,66,0,0,5013,0,0,0,0,0,0,0,0,0,0,0,5,0,0,188,0,0,0,0,0,0,0,0,0,21474836480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1002550,ONEONTA CITY SCHOOLS,110 HIGH SCHOOL STREET PO BOX 16,Oneonta,Blount,Alabama,,HUBERT L. STREET,2,0,155,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2.37684487542793E+029,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1000480,BULLOCK COUNTY SCHOOL SYSTEM,,Union Springs,Bullock,Alabama,36089,,6,1,2775,0,0,809,0,0,0,0,0,0,0,0,0,0,1,112,0,0,53,0,0,0,0,0,0,0,0,0,25769803777,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1000510,BUTLER COUNTY,,Greenville,Butler,Alabama,36037,GENE STROVD,9,0,2935,0,0,2889,0,0,0,0,0,0,0,0,0,0,0,131,0,0,134,0,0,0,0,0,0,0,0,0,30064771072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1000090,ANNISTON CITY SCHOOLS,P. O. BOX 1500,Anniston,Calhoun,Alabama,36201,GEORGE L. LAYTON,16,0,3291,0,0,4099,0,0,0,0,0,0,0,0,0,0,0,138,0,0,193,0,0,1,0,0,2,0,0,0,34359738370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,1000530,CALHOUN COUNTY BOARD OF EDUCATIO,X 307,Anniston,Calhoun,Alabama,,CHARLES N. BOOZER,27,0,1592,0,0,11161,0,0,0,0,0,0,0,0,0,0,0,65,0,0,470,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,1001860,JACKSONVILLE CITY SCHOOLS,,Jacksonville,Calhoun,Alabama,36265,A. NUNN,3,0,206,0,0,1883,0,0,0,0,0,0,0,0,0,0,0,9,0,0,90,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,1002760,PIEDMONT CITY SCHOOL SYSTEM,,Piedmont,Calhoun,Alabama,36272,JOHN R. KIRKPATRICK,4,0,179,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,1000600,CHAMBERS COUNTY,,La Fayette,Chambers,Alabama,3686,MORSE HAYNES,17,0,3490,0,0,3486,0,0,0,0,0,0,0,0,0,0,0,130,0,0,147,0,0,0,0,0,0,0,0,0,38654705665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,1001980,LANETT CITY SCHOOLS,,Lanett,Chambers,Alabama,3,J. T. GREENE,4,0,555,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,25,0,0,50,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,1000630,CHEROKEE COUNTY SCHOOL DISTRICT,,Centre,Cherokee,Alabama,35960,J. B. BISHOP,12,0,469,0,0,3484,0,0,0,0,0,0,0,0,0,0,0,18,0,0,154,0,0,0,0,0,0,0,0,0,42949672961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,1000660,CHILTON CO. S. D.,,Clanton,Chilton,Alabama,35045,GORDON CONWAY,19,0,1158,0,0,4727,0,0,0,0,0,0,0,0,0,0,0,54,0,0,200,0,0,0,0,0,0,0,0,0,47244640256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,1000690,CHOCTAW COUNTY SCH. DIST.,,Butler,Choctaw,Alabama,36904,,8,0,2331,0,0,2308,0,0,0,0,0,0,0,0,0,0,0,95,0,0,100,0,0,0,0,0,0,0,0,0,51539607552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,1000720,CLARKE COUNTY,,Grove Hill,Clarke,Alabama,36451,NORMAN LOPER,15,0,3480,0,0,2602,0,0,0,0,0,0,0,0,0,0,0,133,0,0,114,0,0,0,0,0,0,0,0,0,55834574848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,1003300,THOMASVILLE CITY SCHOOL SYSTEM,,Thomasville,Clarke,Alabama,36784,ROBERT T. SHORT,2,0,690,0,0,923,0,0,0,0,0,0,0,0,0,0,0,31,0,0,44,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,1000750,CLAY COUNTY,,Ashland,Clay,Alabama,36251,LEONARD D. BROOKS,11,0,573,0,0,2229,0,0,0,0,0,0,0,0,0,0,0,26,0,0,107,0,0,0,0,0,0,0,0,0,60129542145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,1000780,CLEBURNE COUNTY,P. O. BOX 248,Heflin,Cleburne,Alabama,36264,J. NOEL HAND,6,0,201,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,7,0,0,99,0,0,0,0,0,0,0,0,0,64424509440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,1001260,ELBA CITY SCHOOL SYSTEM,,Elba,Coffee,Alabama,36323,ELMER TAYLOR,3,0,564,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,25,0,0,64,0,0,0,0,0,0,0,0,0,68719476736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,1000810,COFFEE CTYSC     DISTRICT,,Elba,Coffee,Alabama,,C. E. PEACOCK,7,0,368,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,23,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,1001320,ENTERPRISE CITY,,Enterprise,Coffee,Alabama,36330,J. R. SNELLGROVE,10,0,1112,0,0,3831,0,0,0,0,0,0,0,0,0,0,0,54,0,0,172,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,1000840,COLBERT COUNTY SCHOOL SYSTEM,,Tuscumbia,Colbert,Alabama,35674,,19,0,1333,0,0,4137,0,0,0,0,0,0,0,0,0,0,0,56,0,0,183,0,0,1,0,0,3,0,0,0,73014444033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,1003000,SHEFFIELD CI        LS,,Sheffield,Colbert,Alabama,30008,C. M. BREWSTER,8,0,701,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,25,0,0,116,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,1003420,TUSCUMBIA CI        L SYSTEM,,Tuscumbia,Colbert,Alabama,35674,JACK H. VARDAMAN,5,0,585,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,24,0,0,83,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,1000870,CONECUH COUN        LS,,Evergreen,Conecuh,Alabama,36401,H. G. PATE,12,0,2335,0,0,1854,0,0,0,0,0,0,0,0,0,0,0,106,0,0,88,0,0,0,0,0,0,0,0,0,77309411329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,1000900,COOSA COUNTY,,Rockford,Coosa,Alabama,35136,LLOYD G. MC CLENNY,7,0,1134,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,46,0,0,69,0,0,0,0,0,0,0,0,0,81604378624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,1000060,ANDALUSIA,,Andalusia,Covington,Alabama,36420,OSCAR M. ZEANAH,4,0,706,0,0,1984,0,0,0,0,0,0,0,0,0,0,0,29,0,0,98,0,0,0,0,0,0,0,0,0,85899345920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,1000930,COVINGTON COUNTY SCHOOLS,"EDUCATIONAL BLDG., CRESCENT STRE",Andalusia,Covington,Alabama,,THOMAS W. CARROLL,11,0,655,0,0,2597,0,0,0,0,0,0,0,0,0,0,0,21,0,0,121,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,1002610,OPP CITY SCHOOLS,STEWART AVENUE,Opp,Covington,Alabama,36467,"VERNON L. ST. JOHN,",3,0,253,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,3,0,0,71,0,0,0,0,0,1,0,0,0,7.92281625142643E+028,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,1000960,CRENSHAW COUNTY SCHOOL SYSTEM,,Luverne,Crenshaw,Alabama,36049,,7,0,1167,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,52,0,0,108,0,0,0,0,0,0,0,0,0,90194313217,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,1000990,CULLMAN CITY,220 SECOND AVENUE EAST,Cullman,Cullman,Alabama,35055,DR. ARTHUR W. DENNIS,4,0,0,1,3,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,0,0,0,0,0,9,0,0,0,7.92281625142643E+028,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,1001020,COUNTY COMMISSION ON EDU,BOX 518,Cullman,Cullman,Alabama,,W. HOLLIS TUCKER,14,0,124,0,0,8415,0,0,0,0,0,0,0,0,0,0,0,4,0,0,321,0,0,1,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,1001050,DALE COUNTY,,Ozark,Dale,Alabama,36360,JOE H. PAYNE,10,0,490,0,0,1949,0,0,0,0,0,0,0,0,0,0,0,26,0,0,82,0,0,0,0,0,0,0,0,0,98784247809,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,1002640,OZARK CITY SCHOOL SYSTEM,,K CITY,Dale,Alabama,0,BILLY R. FRALISH,8,0,920,0,0,3497,0,0,0,0,0,0,0,0,0,0,0,52,0,0,148,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,1001080,DALEVILLE CITY SCHOOL DISTRICT,DALEVILLE AVENUE,Daleville,Dale,Alabama,36322,J. H. BAKER,1,5,56,42,7,1216,0,0,0,0,0,0,0,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,0,0,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,1001110,DALLAS COUNTY SCHOOL SYSTEM,,Selma,Dallas,Alabama,36701,"FRANK EARNEST, JR.",15,0,5430,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,231,0,0,117,0,0,0,0,0,0,0,0,0,103079215105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,1002970,SELMA CITY,,Selma,Dallas,Alabama,,J. A. PICKARD,12,0,3786,0,0,3227,0,0,0,0,0,0,0,0,0,0,0,155,0,0,165,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,1001140,DEKALB COUNTY BOARD OF EDUCATION,GRAND AVENUE P O BOX A,Fort Payne,DeKalb,Alabama,35967,"LEON ROBERTS, SUPERI",21,0,123,0,8,8101,0,0,0,0,0,0,0,0,0,0,0,4,0,0,351,0,0,0,0,0,0,0,0,0,107374182401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,1001560,FORT PAYNE CITY,101 FOREST AVENUE,Fort Payne,DeKalb,Alabama,,W. A. ISRAEL,3,0,74,0,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0,0,0,7.92281625142643E+028,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,1001290,ELMORE COUNTY,,Wetumpka,Elmore,Alabama,36092,W. R. MCQUEEN,11,0,2533,0,0,4224,0,0,0,0,0,0,0,0,0,0,0,93,0,0,167,0,0,0,0,0,0,0,0,0,111669149697,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,1003240,TALLASSEE CITY,,Tallassee,Elmore,Alabama,36078,BYRON B. NELSON,3,0,476,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,20,0,0,63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,1000450,BREWTON CITY,,Brewton,Escambia,Alabama,0,DALE T. GARNER,4,0,586,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,28,0,0,46,0,0,0,0,0,0,0,0,0,115964116992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,1001350,ESCAMBIA COUNTY,,Brewton,Escambia,Alabama,36426,HARRY L. WEAVER,14,33,2374,0,0,4543,0,0,0,0,0,0,0,0,0,0,0,89,0,0,185,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,1000180,ATTALLA CITY,,Attalla,Etowah,Alabama,35954,FOREST PATRICK,5,0,544,0,0,1745,0,0,0,0,0,0,0,0,0,0,0,28,0,0,69,0,0,0,0,0,0,0,0,0,120259084289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,1001620,GADSDEN,,Gadsden,Etowah,Alabama,0,,26,0,3421,0,0,9501,0,0,0,0,0,0,0,0,0,0,0,134,0,0,387,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,1001470,FAYETTE COUNTY,,Fayette,Fayette,Alabama,25555,R. W. HOLLINGSWORTH,8,0,697,0,0,2779,0,0,0,0,0,0,0,0,0,0,0,30,0,0,124,0,0,0,0,0,0,0,0,0,124554051585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,1001590,FRANKLIN COUNTY SCHOOL SYSTEM,P O BOX 610,Russellville,Franklin,Alabama,35653,MR. CHARLES H. PARRI,11,0,17,0,0,3514,0,0,0,0,0,0,0,0,0,0,0,2,0,0,174,0,0,0,0,0,0,0,0,0,128849018880,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,1002910,RUSSELLVILLE CITY SCHOOLS,,,Franklin,Alabama,0,R. M. COURINGTON,4,0,344,0,0,1777,0,0,0,0,0,0,0,0,0,0,0,18,0,0,84,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,1001660,GENEVA COUNTY SCHOOL DISTRICT,,Geneva,Geneva,Alabama,3634,HUBERT G. HUGHES,9,0,1138,0,0,4045,0,0,0,0,0,0,0,0,0,0,0,58,0,0,177,0,0,0,0,0,0,0,0,0,133143986177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,1001680,GREENE C    Y,,Eutaw,Greene,Alabama,0,I. C. KUYKENDALL,6,0,2798,0,0,517,0,0,0,0,0,0,0,0,0,0,0,111,0,0,24,0,0,0,0,0,0,0,0,0,137438953472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,1001710,HALE COUNTY BOARD OF ED.,,GREENBORG,Hale,Alabama,36744,R. E. RAMEY,10,0,3783,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,144,0,0,57,0,0,0,0,0,0,0,0,0,141733920768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,1001740,HENRY COUNTY,,Abbeville,Henry,Alabama,36310,JAMES E. REEVES,8,0,1842,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,78,0,0,80,0,0,0,0,0,0,0,0,0,146028888064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,1001230,DOTHAN CITY SCHOOLS,P. O. BOX 1188,Dothan,Houston,Alabama,36301,SAM PRICE JONES,17,0,2598,0,0,6132,0,0,0,0,0,0,0,0,0,0,0,113,0,0,248,0,0,0,0,0,0,0,0,0,150323855360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,1001770,HOUSTON COUNTY,,,Houston,Alabama,,JAMES L. WILLOUGHBY,10,0,1465,0,0,3704,0,0,0,0,0,0,0,0,0,0,0,71,0,0,158,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,1001830,JACKSON     TY BOARD OF EDUCATIO,COURTHOUSE P.O. BOX 248,Scottsboro,Jackson,Alabama,35768,A.A. CLEMENS,16,0,322,0,0,6424,0,0,0,0,0,0,0,0,0,0,0,14,0,0,268,0,0,0,0,0,0,0,0,0,154618822657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,1002940,SCOTTSBORO CITY SCHOOL SYSTEM,P. O. BXO 670,Scottsboro,Jackson,Alabama,,DR. THURSTON T. NELS,4,0,260,0,0,2661,0,0,0,0,0,0,0,0,0,0,0,10,0,0,111,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,1000330,"BESSEMER, ALABAMA BOARD OF EDUCA",,Bessemer,Jefferson,Alabama,35020,"J. HOWARD MCEMIRY, J",12,0,5359,0,0,3236,0,0,0,0,0,0,0,0,0,0,0,214,0,0,169,0,0,3,0,0,2,0,0,0,158913789953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,1000390,BIRMINGHAM PUBLIC SCHOOLS,P. O. DRAWER 114,Birmingham,Jefferson,Alabama,35202,RAYMOND CHRISTIAN,102,0,34156,0,0,32278,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,1213,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,1001440,FAIRFIELD CITY BOARD OF EDUCATIO,. BOX 110,Fairfield,Jefferson,Alabama,35064,G. VIRGIL NUNN,9,0,1990,0,0,1626,0,0,0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,1001910,JEFFERSON COUNTY,A-400 COURTHOUSE BUILDING,Birmingham,Jefferson,Alabama,35203,DR. HALL,106,0,18186,0,0,47142,0,0,0,0,0,0,0,0,0,0,0,666,0,0,2019,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,1001950,LAMAR COUNTY,,Vernon,Lamar,Alabama,0,EDWIN ALLEN,9,0,632,0,0,2731,0,0,0,0,0,0,0,0,0,0,0,31,0,0,122,0,0,0,0,0,0,0,0,0,163208757249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,1001530,FLORENCE CITY SCHOOL SYSTEM,"541 RIVERVIEW DRIVE, P. O. BOX 1",Florence,Lauderdale,Alabama,3563,JOSEPH W. BLACKSTON,11,0,1463,0,0,6093,0,0,0,0,0,0,0,0,0,0,0,59,0,0,268,0,0,0,0,0,0,0,0,0,167503724544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,1002010,LAUDERDALE COUNTY,,Florence,Lauderdale,Alabama,,ALLEN THORNTON,15,0,661,0,0,7635,0,0,0,0,0,0,0,0,0,0,0,40,0,0,342,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,1002070,LEE COUNTY,,Opelika,Lee,Alabama,36801,FRANCIS J. MARSHALL,9,0,2141,0,0,2333,0,0,0,0,0,0,0,0,0,0,0,79,0,0,89,0,0,0,0,0,0,0,0,0,176093659137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,1002580,OPELIKA CITY SCHOOL SYSTEM,,Opelika,Lee,Alabama,,CLYDE ZINK,10,0,1921,0,0,2837,0,0,0,0,0,0,0,0,0,0,0,56,0,0,125,0,0,2,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,1000210,AUBURN CITY,,Auburn,Lee,Alabama,36830,E. E. GAITHER,7,0,1166,0,0,2142,0,0,0,0,0,0,0,0,0,0,0,47,0,0,115,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,1000120,ATHENS C,,Athens,Limestone,Alabama,35611,JULIAN NEWMAN,6,0,473,0,0,2416,0,0,0,0,0,0,0,0,0,0,0,22,0,0,117,0,0,0,0,0,0,0,0,0,180388626433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,1002100,LIMESTONE COUNTY BOARD OF EDUCAT,,Athens,Limestone,Alabama,,C. S. PETTUS,19,0,1717,0,0,5383,0,0,0,0,0,0,0,0,0,0,0,86,0,0,275,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,1002160,LOWNDES COUNTY SCHOOL DISTRICT,,Hayneville,Lowndes,Alabama,36040,,7,0,3840,0,0,366,0,0,0,0,0,0,0,0,0,0,0,142,0,0,29,0,0,0,0,0,0,0,0,0,184683593729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,1002220,MADISON     TY,MADISON COUNTY COURT HOUSE,HUNTSVIL,Madison,Alabama,35801,MATTHEW H. HALL,28,0,3570,3,5,8387,0,0,0,0,0,0,0,0,0,0,0,157,0,0,369,0,0,1,0,0,4,0,0,0,193273528322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,1001200,DEMOPOLIS CI,,Demopolis,Marengo,Alabama,36732,A. A. KNIGHT,3,0,1046,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,42,0,0,57,0,0,0,0,0,0,0,0,0,197568495617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,1002250,MARENGO COUN,,Linden,Marengo,Alabama,36748,FRED D. RAMSEY,11,0,3128,0,0,761,0,0,0,0,0,0,0,0,0,0,0,142,0,0,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,1002130,LINDEN CITY SCHOOLS,BOX C,Linden,Marengo,Alabama,,L. RAY JONES,4,0,678,0,0,737,0,0,0,0,0,0,0,0,0,0,0,32,0,0,36,0,0,2,0,0,2,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,1002310,MARION COUNTY,,Hamilton,Marion,Alabama,35570,ESTES HUDSON,14,0,130,0,0,4051,0,0,0,0,0,0,0,0,0,0,0,6,0,0,178,0,0,0,0,0,0,0,0,0,201863462913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,1003540,WINFIELD CITY SCHOOLS,BOX 70,Winfield,Marion,Alabama,35594,PAUL J. WEEKS,1,0,55,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,2,0,0,52,0,0,0,0,0,0,0,0,0,2.37684487542793E+029,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,1002330,MARSHALL COUNTY,,Guntersville,Marshall,Alabama,35976,FRED    DAWN,31,0,303,0,0,13103,0,0,0,0,0,0,0,0,0,0,0,11,0,0,527,0,0,0,0,0,0,0,0,0,206158430209,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,1002370,MOBILE COUNTY,,Mobile,Mobile,Alabama,36601,,92,0,31441,0,0,44023,0,0,0,0,0,0,0,0,0,0,0,1091,0,0,1524,0,0,0,0,0,0,0,0,0,210453397504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1002400,MONROE C,,Monroeville,Monroe,Alabama,36460,,14,0,3512,0,0,2513,4294967295,0,0,0,0,0,0,0,0,0,0,151,0,0,125,0,0,0,0,0,0,0,0,0,214748364800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1002430,MONTGOMERY COUNTY,,Montgomery,Montgomery,Alabama,36103,,54,0,16691,0,0,22402,0,0,0,0,0,0,0,0,0,0,0,565,0,0,819,0,0,1,0,0,4,0,0,0,219043332096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
